timestamp_ns,rtt_ms
1774661843174587517,0.3998
1774661843274562194,0.3959
1774661843274710394,0.5441
1774661843274770332,0.6040
1774661843274835198,0.6689
1774661843374666196,0.4928
1774661843374752124,0.5787
1774661843374794916,0.6215
1774661843374844846,0.6714
1774661843374993787,0.8203
1774661843474961765,0.8029
1774661843475098547,0.9396
1774661843475319701,1.1608
1774661843475365261,1.2063
1774661843475405133,1.2462
1774661843475442940,1.2840
1774661843475485614,1.3267
1774661843475742222,1.5833
1774661843475801566,1.6427
1774661843475852794,1.6939
1774661843475901969,1.7431
1774661843475995532,1.8366
1774661843575092130,0.9210
1774661843575331671,1.1605
1774661843575387365,1.2162
1774661843575436296,1.2651
1774661843575472384,1.3012
1774661843575507655,1.3365
1774661843575540194,1.3690
1774661843575573597,1.4025
1774661843575606553,1.4354
1774661843575639122,1.4680
1774661843575684778,1.5136
1774661843575718839,1.5477
1774661843575751683,1.5805
1774661843675387534,1.2274
1774661843675505407,1.3452
1774661843675553306,1.3931
1774661843675590239,1.4301
1774661843675628640,1.4685
1774661843675670844,1.5107
1774661843675709992,1.5498
1774661843675758122,1.5979
1774661843675796824,1.6366
1774661843675838303,1.6781
1774661843676079855,1.9197
1774661843676288461,2.1283
1774661843676489271,2.3291
1774661843689042602,14.8824
1774661843737547131,63.3870
1774661843775480547,1.3065
1774661843775598335,1.4242
1774661843775743650,1.5696
1774661843775845051,1.6710
1774661843775899705,1.7256
1774661843775981226,1.8071
1774661843776039265,1.8652
1774661843776096140,1.9221
1774661843776145890,1.9718
1774661843776195180,2.0211
1774661843875593132,1.4245
1774661843875722231,1.5536
1774661843875779558,1.6109
1774661843875836970,1.6683
1774661843875927962,1.7593
1774661843886065168,11.8965
1774661843886209146,12.0405
1774661843886254865,12.0862
1774661843886310325,12.1417
1774661843886352075,12.1834
1774661843886398949,12.2303
1774661843974888183,0.7166
1774661843975044721,0.8731
1774661843975740636,1.5690
1774661843975801872,1.6303
1774661843975841820,1.6702
1774661843975879641,1.7081
1774661843975922294,1.7507
