timestamp_ns,rtt_ms
1776006536502623872,1.5207
1776006536602300126,1.1505
1776006536702318369,1.1201
1776006536802357023,1.1469
1776006536902217042,0.8997
1776006537002221505,0.9015
1776006537102223349,0.9081
1776006537202187784,0.9140
1776006537303335772,2.0923
1776006537402229170,0.9166
1776006537502228147,0.9056
1776006537602230208,0.9213
1776006537702179726,0.8987
1776006537802205103,0.8930
1776006537902209846,0.8984
1776006538002214643,0.9238
1776006538102214944,0.9372
1776006538203102440,1.8916
1776006538203907126,2.6963
1776006538204175809,2.9650
1776006538204409794,3.1989
1776006538205248765,4.0379
1776006538205754471,4.5436
1776006538206150483,4.9396
1776006538302813051,1.5019
1776006538303559142,2.2480
1776006538303768839,2.4577
1776006538303885777,2.5746
1776006538304074721,2.7636
1776006538304287401,2.9762
1776006538304497503,3.1863
1776006538304717032,3.4059
1776006538304922669,3.6115
1776006538402766299,1.5123
1776006538403046171,1.7921
1776006538403257656,2.0036
1776006538403502909,2.2489
1776006538403745815,2.4918
1776006538403958001,2.7040
1776006538404173442,2.9194
1776006538404369285,3.1153
1776006538404573967,3.3199
1776006538502895447,1.5642
1776006538503113332,1.7821
1776006538503280266,1.9490
1776006538503491271,2.1600
1776006538503686711,2.3555
1776006538503919460,2.5882
1776006538504133056,2.8018
1776006538504337784,3.0065
1776006538504539434,3.2082
1776006538602909382,1.5559
1776006538603113142,1.7596
1776006538603227358,1.8738
1776006538603404519,2.0510
1776006538603730984,2.3775
1776006538603949309,2.5958
1776006538604155301,2.8018
1776006538604346860,2.9933
1776006538604533051,3.1795
1776006538702594883,1.2329
1776006538702922089,1.5601
1776006538703119136,1.7572
1776006538703352369,1.9904
1776006538703656533,2.2946
1776006538703849080,2.4871
1776006538704054709,2.6927
1776006538704254655,2.8927
1776006538704445982,3.0840
1776006538802746905,1.4214
1776006538802954750,1.6292
1776006538803074922,1.7494
1776006538803258177,1.9326
1776006538803469488,2.1439
1776006538803667692,2.3421
1776006538803890309,2.5648
1776006538804118743,2.7932
1776006538804308924,2.9834
1776006538902323982,1.0187
1776006538902501389,1.1961
1776006538902581033,1.2758
1776006538902645954,1.3407
1776006538902783141,1.4779
1776006538902912165,1.6069
1776006538903061667,1.7564
1776006538903220393,1.9151
1776006538903364019,2.0587
1776006539002947304,1.6540
1776006539003215709,1.9224
1776006539003427547,2.1343
1776006539003642445,2.3492
1776006539003893620,2.6004
1776006539004062997,2.7697
1776006539004206865,2.9136
1776006539004348444,3.0552
1776006539004483144,3.1899
1776006539102775467,1.4565
1776006539102980882,1.6619
1776006539103094519,1.7755
1776006539103245998,1.9270
1776006539103474317,2.1553
1776006539103781856,2.4629
1776006539104004616,2.6856
1776006539104219644,2.9007
1776006539104432789,3.1138
1776006539202560616,1.2405
1776006539202848812,1.5287
1776006539203063715,1.7436
1776006539203327901,2.0078
1776006539203532139,2.2120
1776006539203772043,2.4519
1776006539203979987,2.6599
1776006539204186255,2.8662
1776006539204396417,3.0763
1776006539302595825,1.2669
1776006539302875722,1.5468
1776006539303057167,1.7283
1776006539303198739,1.8698
1776006539303414456,2.0855
1776006539303599522,2.2706
1776006539303805374,2.4765
1776006539304007210,2.6783
1776006539304286347,2.9574
1776006539402484105,1.3675
1776006539402798495,1.6819
1776006539403003668,1.8871
1776006539403196046,2.0794
1776006539403400406,2.2838
1776006539403648662,2.5321
1776006539404008144,2.8915
1776006539404212661,3.0961
1776006539404434092,3.3175
1776006539502848395,1.5096
1776006539503086841,1.7481
1776006539503206100,1.8673
1776006539503367792,2.0290
1776006539503605013,2.2663
1776006539503837936,2.4992
1776006539504045304,2.7066
1776006539504252597,2.9138
1776006539504469679,3.1309
1776006539602677384,1.3491
1776006539602935025,1.6067
1776006539603095911,1.7676
1776006539603262868,1.9346
1776006539603540206,2.2119
1776006539603778309,2.4500
1776006539603989165,2.6609
1776006539604218572,2.8903
1776006539604439974,3.1117
1776006539702672150,1.3367
1776006539702983386,1.6479
1776006539703197891,1.8624
1776006539703368292,2.0328
1776006539703562632,2.2271
1776006539703816018,2.4805
1776006539704012668,2.6772
1776006539704204788,2.8693
1776006539704401109,3.0656
1776006539802513564,1.3931
1776006539802797897,1.6774
1776006539802967769,1.8473
1776006539803172461,2.0520
1776006539803379943,2.2595
1776006539803587418,2.4670
1776006539803821993,2.7015
1776006539804034732,2.9143
1776006539804243799,3.1234
1776006539902531301,1.3820
1776006539902793989,1.6447
1776006539902966307,1.8170
1776006539903151806,2.0025
1776006539903371574,2.2223
1776006539903612578,2.4633
1776006539903849259,2.7000
1776006539904054333,2.9050
1776006539904264976,3.1157
1776006540002810952,1.6526
1776006540003023342,1.8650
1776006540003157432,1.9991
1776006540003325979,2.1676
1776006540003546442,2.3881
1776006540003792041,2.6337
1776006540004000870,2.8425
1776006540004205572,3.0472
1776006540004430399,3.2720
1776006540102787893,1.4619
1776006540103049955,1.7239
1776006540103247407,1.9214
1776006540103461339,2.1353
1776006540103658414,2.3324
1776006540103869253,2.5432
1776006540104020062,2.6941
1776006540104155443,2.8294
1776006540104373036,3.0470
1776006540202348261,1.0456
1776006540202487415,1.1847
1776006540202649237,1.3465
1776006540202800346,1.4977
1776006540202956546,1.6539
1776006540203131549,1.8289
1776006540203295709,1.9930
1776006540203460739,2.1580
1776006540203626955,2.3243
1776006540302946614,1.6196
1776006540303156894,1.8298
1776006540303323365,1.9963
1776006540303510380,2.1833
1776006540303751212,2.4242
